,id,name,intro to computer science,machine learning,web design,social psy,cognitive psy,industrial psy,intro to sociology,criminology,urban sociology,absence,sociology reviews,cs reviews,psy reviews
10,4041,Annette Hunter,62,72,39,88,40,100,68,64,82,9,Good class. No complaints. Did well. Assignments were straightforward.,"This course is taught in an archaic language that no one uses and no one understands. Instructors' explanations are irrelevant to actual questions and I got yelled during office hrs even though I stated that I need a little patience (I am disabled). Assignments and quizzes are unreasonably hard. I took to take this for bioinformatics option and decided to change my future career. Truly the worst in UW history. If you don't need this course, run.","Took this course online with Jennifer Stolz. Course was mostly quizzes. As long as you study the textbook, you'll do great."
11,4044,Samuel Wallace,62,52,44,94,25,96,75,60,93,8,"Pretty easy course, took online in Fall 21. Attending the weekly online lecture was optional, as recordings were posted the same day. Dr. Williams was very clear and the assignments/tutorial assignments were straightforward. Very harsh late penalty compared to other first year courses.","Not a bird course, although if you have background in programming it would not be difficult at all. Racket is somewhat useless but I learned some concepts that will be useful for other programming languages",Extremely easy if taken online
12,4047,Wendy Smith,40,30,46,92,36,81,82,60,86,1,"Boring class that I don't remember anything from. Prof seemed cool. If you're into sports, you'll like him. Have to buy textbook new each year, but it's nice to have all the readings in one little booklet.","I took this course online due to the COVID-19 pandemic, so my review is based on a remote, online learning experience. Overall, as someone who is not a CS student and who doesn't have a lot of background experience and knowledge in programming, it's a great introductory course to the language of Racket and the overall concepts that will be useful in later computer science courses. The Racket language itself is not a very ""useful"" language that you may or may not use in later CS courses and even in a job, but the foundation it provides is very valuable and will definitely make you think more mathematically at programming problems. The difficulty of this course starts to increase after the midterm exam, and it does get pretty tough nearing the end. I recommend starting the assignments as early as possible and attend as many office hours if you have any questions. The course staff are very responsive and do offer a good amount of help depending on your questions. Overall, I can't say much about the in-person learning experience, but this course was suited well for online learning and I enjoyed it.",Online offering is just quizzes each covering content from one chapter of the textbook.
13,4050,James Hardy,57,55,56,71,29,100,85,50,90,9,"If you skim the readings and pay attention to his lectures (which are not very difficult) it's an easy class. Some of the concepts repeat throughout the course, so once you get a feel of it, you'll be fine.","I found the online for this course to be fantastic personally. The EDx is clearly organized, and the content isn't too difficult, but provides a challenge. Can't speak to the in-person, but would definitely recommend the online. Beware though as this course is time consuming because of the amount of problems and assignments and shouldn't be mixed with a term that is already fairly difficult.",all online quizzes and 4% research participation bonus. heads up to SE kids this can count towards your science elective requirements
14,4051,Kimberly Smith,40,28,58,86,69,90,83,56,84,8,"I showed up to class, took good notes and was able to do really well in the course. If you pay attention and do the readings you'll do great. There was a paper, a midterm and a final exam.","This was joint taught by a bunch of profs in the Winter term and I think it was one of the most organized online courses I took. The content modules were all written but there was a bunch of integrated questions to check your understanding. The course is really centered on your ability to reach out for help when you need it since everything was asynchronous. I think my favourite part was how office hours were 1-on-1 and there were a lot of times available throughout the day. The only thing is that some of the nicer TAs had really long wait times lol. Overall super enjoyable though, just make sure to base your design recipe on their given examples or you will lose many marks","(Took online) 100% of our grade was made up of weekly quizzes that were pretty straightforward if you had done the readings. We even got a 4% SONA bonus on top of that, so if you find the topic interesting its easy to do really well. Had Fugelsang and Stolz"
15,4056,Anna Davis,75,28,55,71,48,87,69,55,90,8,"*Taken remotely due to COVID* Honestly didn't watch any of the lecture videos as the professor just read right off of them, as long as you do the readings and review the slides you'll be fine.","I think this course ran well online, the notes were very organized and easy enough to follow along and there is good support from most of the proffs and tas. The course may be a little fast for a complete cs beginner but the course has 400+ practice questions to help prepare for the weekly assignments",Took this course all online and it was extremely easy.
16,4097,Anthony Elliott,40,79,40,90,42,86,69,65,85,8,"This is an easy course with two quizzes, a position paper, and small weekly tutorial assignments (online). I didn't find it that useful because everything is pretty much all common sense and overlapped with other courses.","It's the worst course ever, online especially. They are least interested to teach. They just provided the content to read by ourselves. I wouldn't suggest anyone to take this course online.","I took the online course in spring 2021. Fairly light, one quiz a week with the lowest two dropped. The readings can be long but the lecture material is pretty short, both are tested on weekly quizzes. You can get a 4% mark boost with SONA credits so I would recommend doing that."
17,4098,Steven Long,98,21,40,89,26,87,88,97,93,1,Information is general and generic. It's a good filler course- just make sure not to forget to hand in tutorials or hand in things late. As long as you hand it in and it fits the criteria expect a high grade. You gotta read the readings cuz some Q's/assignments are specifically from them.,"Nice course that teaches you how to write simple code. But little annoying that you have to do Design Recipe (especially writing an explanation for codes). There is no loop in DrRacket so being able to understand recursion is important. All course contents are based on a website and you have to read everything and code something on that website. Pity that this course will not show many algorithms or data structures. So far I think those who can just play computer games (i.e. no coding experience but can easily type using the keyboard) can easily get 90+ in this course. If you have ever coded like C, python, java, pascal and so on, easy to get 95+. Idk why the easy rate goes so low but trust me, super easy course if you finish reading the material (okay reading part may be a little boring and CS 135 provide detailed intros which seem not wordy)","I took the online, fairly easy, just review the readings and lectures before quizzes and you can achieve an easy 80, and 90 if you put in a good effort. fairly light as well"
18,4114,Sherry Richard,89,22,53,71,53,97,65,54,86,9,"This course was unbearably easy. Most of the content is common sense. However, make sure you do the readings because there are questions that specifically correlate to them.","It was okay. All I can say is, do your work and submit assessments on time. Please don't procrastinate. That's what I did, and I live to regret it. This is because figuring out the solutions to each assessment problem takes time, and procrastinating doesn't help. So, submit early. Submit often. Submit. Submit.","Great course, interesting content. Pretty easy."
19,4123,Mary Davis,45,33,58,79,46,86,67,63,85,8,"This course is really boring in the sense that it is all common sense. There is not necessarily anything new that you will learn. However, one good thing is that there is tons of opportunity to be able to improve your grade (this is from a fall 2020, online perspective). The TAs are super kind and Wade, the instructor, will try his best to be flexible (ex: extending deadlines for assignments).","The end of the course became quite tough but otherwise this was pretty manageable. Excellent professors and ISA's who always take our feedback and concerns into consideration to make the course experience better, including having office hours very late at night and very early in the morning. The online platform is also excellent and fun to use.",Go to class before the first test so that you can get a sense of what the prof is like. Then you can skip all other lectures except the days that have tests. Read the textbook and it's an easy 75-80.
20,4136,Gina Wallace,72,23,41,85,61,100,67,91,89,9,Why wouldn't you like this mark booster,"The education quality is significantly impaired with no doubt since we are doing it online. Reviews before COVID was mostly positive. But after COVID-19, a lot of them are negative. I think that reflects something. Assignment were thrown into your face like you just have one class for the whole term. For me, I believe the material we learn and the assignment we need to do is inconsistent in terms of difficulty level. The gap between them is just huge. It often took me eight to twelve hours to finish the assignment. Don't take this if you are doing online.","This course really requires you to sit down with the material and go over it a few times before it starts to make sense. It's a dense one, and I think it's because cognitive science in general is pretty complicated."
21,4142,Dr. Angela Anderson MD,64,39,39,97,19,94,89,85,92,8,"The course content was useful and interesting at times. The tutorials were not useful and didn't connect to the lectures. The course was easy, with two non-cumulative tests, an annotated bibliography and position paper. The lectures were directly off of the readings.",so difficult for beginners,"This course was super easy, very simple concepts and not many overall. No final exam, just 4 noncumulative tests ~ every 2 weeks. Also had an opportunity to earn 4 bonus marks by participating in 4 credits worth of SONA studies. The course was a monday night class which sucked especially since the prof was very slow and repetitive. The textbook is also a required text since some of the tested material is exclusive to the textbook and not covered in lecture."
22,4143,Joseph Maldonado,74,41,71,97,41,90,69,65,88,2,Fun course to learn but not very useful,"Not an ""EASY"" course at all. Anyone commentating that is probably a Math/Eng student who is already familiar with coding through other courses. Since the midterm/exam is on paper, you have to be able to imagine what your code is going to be able to do without actually testing it like you do in your assignments! Speaking of assignment, they're bloody hard! No joke, it might take you an entire day to problem solve your way through them and that might not even be enough - incredibly frustrating course and not recommended unless you really want to study coding in the future. DR. Racket is not even applicable to most organizations. If you want to learn coding, just pick up something off Amazon or get a pdf through a friend - don't spend money here unless you're actually planning on continuing studies in CS.","I'd recommend doing the readings, and studying pretty hard for the exams. The course wasn't easy, but it wasn't super hard either. Overall, really fun and interesting!"
23,4154,Molly Allen,62,54,49,87,31,88,63,59,85,1,typical dry first yr class! It was mandatory so nothing too exciting,Must attend lectures if you're new to programming.,
24,4159,Christopher Johnson,41,35,77,81,30,92,65,57,82,8,"Honestly, it was a super fair course everything for midterms was straight from the slides. Look over the readings and get the main gist of it tho cuz they're kinda asked on the midterms. TA's for this course are probably the nicest you'll ever meet and will provide extra help or look over you papers for pointers and corrections. They're probably the best part of this course.",Pretty easy course overall! I stopped going to labs about three weeks in and still managed to get the bonus 3%. The assignments were relatively easy (with one or two exceptions).,"Took it online during my co-op term, it wasn't particularly hard or easy. There is a lot of content, as expected from a psych course, but really interesting nonetheless. I thought there wouldn't be an exam but there was but just keep studying and it should be fine. I didn't ever refer to the textbook and I was fine."
25,4162,Denise Foley,53,22,62,91,49,88,85,93,93,1,"Stupidly easy class. Never went and got a mark in the 90s. His lectures are straight out the readings. The tutorials however are nonsense. The mandatory attendance is a garbage rule, if you lose marks for not going that's one thing, but failing the whole component if you miss 2 is absurd. If you get a good TA though it's not terrible, mine let us skip the dumb assignments which was helpful, though I know some TAs made their class stay the whole 90 minutes even if there was nothing left to do.",Very easy course if you keep up with the material and do the assignments.,"The course was exactly what I was looking for - easy enough to understand as a non-psych student, but complex and engaging enough to be able to apply concepts. I seriously recommend the course to those interested in programming and machine learning. There are a lot of parallels being drawn between computers and the human brain, and a lot of emphasis on how cognitive science evolves as an applicable research field."
26,4163,Brandon Hall,55,42,80,95,47,96,88,53,80,4,wasn't my most favourite class.,"It's hard to motivate yourself to do the assignments when each is 2% or something, but it really is important to keep on top of it. They only get harder and arguably the only way to guarantee that you'll do well on the midterm (since you WILL be asked to write mini programs) I personally found the exam to be much harder than the midterm, so you really need to use the midterm as a grade booster.","I took this online. It is a super interesting course but there was a lot of memorizing (well, it is a psych course). But it was an amazing course!"
27,4169,John Quinn,57,38,67,89,32,92,78,73,97,8,"Class kinda sucked, readings were way too long. Some of the info was interesting and the assignments were easy. Tutorial was way more beneficial than the actual course content. Dr. Wilson was passionate about the class, but read from the slides directly (which were from the readings directly) which made going to class feel tedious.","Reviewing as a science major, this course was definitely the one that set me up with programming. Even though it was Dr. Racket, concepts were easy to follow. Be sure to go ask a lot of questions if you do not understand.","The course is basically the same as PSYCH101 but with a little more content relating to the brain. For winter 2017 there were only 4 term tests and we didn't end up going through all the content listed in the schedule. You don't need to attend lectures to pass the course, just read the textbook."
28,4173,Hannah Brown,50,41,79,85,17,91,84,91,84,9,lmao why does this even exist,A good start in cs though Racket seems useless in the future study...,"I wanted so much to love this course. I truly did. But it's dry to an extent I haven't yet experienced in a psych course. The prof I had was probably a huge part of this, but the content really isn't much better. It's rote memorization of experiments that have little to no impact in the real world, or not one that was made clear at any rate. The textbook is written by the professor so you can bet on every lecture being a word for word reading of it. Hey, if you're looking for a course where you can read the textbook and nothing else to prepare for an exam, this one's for you."
29,4182,Sandra Logan,58,25,51,92,25,85,60,91,86,9,"Wilson never finishes his slides and he always goes off topics ( eg, talking about his job at Costco) . As a health studies student, I don't think this course as anything to do with health studies , however it is a fun class, because there isn't a lot of work .","Racket sucks, but the content of the course was easy enough to digest if you never did programming before. Seek help if you need it (early) and don't be afraid to talk to the TAs and profs!",Very dry material and not interesting. I have taken many psych courses and this was the worst so far. Very much need to know names and dates not how a theory works in the real world or how to apply it. Very dry.
30,4184,Jacob Harrison,75,69,59,93,72,86,83,89,83,2,"Very easy to do well. Exams were all MC and one research paper counted for your mark, as well as tutorial participation.","A great course, but a little strange if you're used to object oriented programming.","This class is straightforward and pretty easy to do well in, IF you enjoy the content! My lack of interest, coupled with the fact that it was an 830 class, made it extremely hard to pay attention and/or go to class. That being said, it wasn't overly difficult and had a small work load so if you have an genuine interest in the content then it's a pretty easy elective"
31,4193,Kenneth Shaffer,85,50,53,78,27,94,78,75,89,9,,This course was my favorite in first year. It's really fun. I enjoyed writing codes a lot.,If you aren't majoring/minoring in PSYCH than this course doesn't give you any useful information that PSYCH101 doesn't.
32,4195,Darren Russell,55,34,58,84,53,88,81,83,81,4,"Boring. Focused towards kin students, so as a health studies student, did not have anything to do with my studies. No flow to the course, random information on nothing. Useless topics being covered that were not engaging (prof didn't help either). Content is easy but midterms are tricky and TA mark hard for no reason, you would expect to be doing better than you actually are. Would not take this as an elective if you have the option, but this is required for all AHS students sadly, should really only be for those interested in sports therapy.","It you get stuck on an assignment, take a break and revisit later. Don't let assignments become a time-sink.","Took it online, was pretty dry, still easy though with brief reviews. Heavy final exam"
33,4198,Elizabeth Martin,82,24,55,85,61,86,86,51,90,7,Class was a little similar to HLTH 101. Midterm is easy just read all the readings at you'd do fine.,"well racket, it is ok","I took the online version of this course. If introductory psych didn't scare you away or it was a piece of cake for you, this course is easier. Theres no research paper assignment, so if you're not good at essays they gotchu. I suggest to skip the lectures if you dont have time and just read the textbook. The profs wrote the textbook so you should know it inside out. The lectures are the same as whats in the textbook but with a lot of important studies taken out."
34,4200,Jose Long,68,38,33,96,51,81,86,55,91,1,First comment!,i hate racket,gbleugrghghhhh annoying
35,4201,Destiny Perry,53,22,39,80,40,92,74,87,98,8,im horrible at math for all the honours science students that needs a math and doesnt actually need math 127 TAKE THIS!!!!!! its as good as it gets. 40% assignments 40% quizzes (both weekly) 20% final (ours was an open book asignment),Really easy. I had no previous coding experience and I picked it up the concepts super quickly. You have to go to class though. Slides are NOT enough,Interesting but can be boring or dry at some points. Exams are pretty easy and straight forward if you pay attention in class and take good notes.
36,4205,Joe Hinton,47,60,49,70,45,88,71,65,82,9,"The overall course material was okay, it is a review of grade 12 advanced functions and a little bit of calculus. The professor just rewrote the examples from the textbook so she was not very helpful. I learned from the textbook the entire course. So the textbook is really important to have.","CS 115's content wasn't too hard and is very accessible to first time coders. Be prepared to sometimes have to put in a good chunk of time for the weekly assignments, but the assignments help you out a lot with problem solving skills and becoming more comfortable with coding in general.",Awesome psych course. Content was interesting
37,4212,Jennifer Jones,61,43,65,96,56,89,84,52,91,4,Well... I can say that online courses are not for me. I would recommend anyone taking this class to go for the lecture course.,"SO easy, didn't pay attention in the lectures, just used course notes.",I took this online and it was really boring. It took me a lot effort to actually focus on the lecture videos. The content is really repetitive with the textbook
38,4219,Alex Fowler,75,32,70,82,33,93,80,67,84,9,"Easiest course ever if you've taken highschool calculus. The integration in this is also SUPER BASIC so if you havent learned integration and anti-derivatives before, like me, it is still SUPER easy. I literally got a 100% on my transcript in this course.","If you feel like you have sufficient Computer Science experience, go to CS 135 because it does challenge you more. This is a good introductory course to learn programming. Also, Racket needs some getting used to.","This (online) course is a total waste of time. It's a trivial overview of a bunch of cognitive psychology experiments that require zero critical thinking. It's all memorization. Maybe that's your thing, but it certainly wasn't mine."
39,4220,Tracy Hampton,72,45,48,80,41,81,76,66,89,8,You can pass the course without going provided you have the texbook,"Interesting, gg","If you're looking for a PSYCH course to take, this is a great second option after PSYCH 253 (Social Psychology)."
40,4224,Jeffrey Garcia,71,49,51,73,20,92,82,65,99,9,Basic calculus. Do your homework and study main concepts. Midterms were easy but final threw me off. Can easily get 85+ if you've taken high school calculus.,Take CS 135 or 145 if you have prior programming experience. The majority of this course is exceedingly easy if you already know programming basics. It may only possibly get difficult at the very end. The design recipe and templates are the hardest thing for the majority of the course.,Very interesting material; Great course! If you pay attention in lectures and read the text and you'll do great. :) (4 non-cumulative term tests)
41,4225,Tammy Wilson,59,67,75,91,45,90,73,97,91,1,Ugh math. But the concepts were easy to handle and once you got it the course moved pretty well.,Please be very careful about the design recipe (especially tests and examples),Interesting course that picks up on material learned in 101 (some of it in review). Course was quite easy.
42,4226,Amanda Pratt,44,61,43,71,39,82,81,70,87,9,Pretty easy class. The homework is necessary to do the weekly quizzes but it really helps you retain the stuff.,SO MUCH FUN OMG,Textbook course. Learned how to study from the professor.
43,4232,Tiffany Perez,46,55,35,77,27,88,82,76,92,9,"Course grade determined by three term tests and final exam. Term tests make you think you did well, but then you get your grade back and feel confused as to what you did wrong. Final exam is only written word questions with most of study guide on exam. Just memorize your definitions, and the exam will be easy.",Trivial course.,This course isn't super hard but it can be boring and dry at times... the textbook is not that recent and can be very dry... But sometimes it wasn't too bad and I did like some of the topics like Memory.
44,4236,Michael Walker,44,49,66,94,42,88,83,58,82,8,"I took it online during covid. The grade consisted of 3 quizzes and final exam (short answer questions and an essay). One of my favorite courses, very interesting content!",Pretty gentle introduction to programming,The setup for this course when I took it was just 4 non-cumulative tests in the year each worth 25%. You can learn almost everything just from reading the textbook and some parts are more interesting that others. There is the opportunity for 4% bonus for doing psych studies as well. This course was fairly interesting and quite easy to do well in.
45,4237,Tammy Stone MD,55,37,63,100,60,90,63,98,93,1,"This course was very informative & very interesting! It had 2 midterms, a paper and a final exam. Sometimes the content could be a bit graphic or disturbing but never overwhelmingly so.","It's pretty much an introduction to computer science concepts like recursion,BSTs and other abstract data types. It's VERY useful if you have no prior experience with programming.",Rote memorization.
46,4242,Russell Griffin,94,52,43,76,17,86,84,81,83,8,The four topics were interesting. Took it online and wrote the essay to avoid 100% final.,"do not take this as an elective unless coding/math is easy for you! there are a lot of concepts, impossible to teach yourself from the course notes because of how poorly organized they are. lectures are impossibly boring. My best friend tutors this class and I still justtttt scraped by. language is not super useful in life. many of my friends have taken this course because they heard it was easy and ended up failing.","Definitely read the book. The midterms are not pushovers, though with reasonable amount of studying it shouldn't be difficult."
47,4243,Marisa Richardson,71,39,59,98,30,85,65,90,84,9,keep up with the readings,"Was a nice way to learn recursion, which is essentially the purpose of this course. They also give a lot of free marks with a 3% lab bonus - DO THEM! That 3% can make a big difference in your mark.","I loved this course when I took it online in Fall 2020. I don't remember the name of my professor, but his modules were pretty well-made. The bit about the Milgram obedience experiments was especially well done. The LEARN quizzes were very, very reasonable and there was no final."
48,4245,Renee Krueger,55,41,73,89,32,88,81,61,94,8,"very interesting and not as intense as it might seem at first! exam was a piece of cake, don't be frightened by the 100% worth!! that being said, there was a mixup with the exam this year and i accidentally got the ""Option 1"" exam (ie for people who elected to write an essay and have the exam not be worth 100%) and a few questions were different, easier imo.",fuck i hate design recipe. your lose marks for nothing!,"to be honest, I'm not really sure what I learned in these past 4 months. this course is the embodiment of ""meh"", mostly just consisted of spending 5 minutes learning a concept and 45 minutes talking about studies that ""prove"" the concept. seriously, we probably covered over 100 studies in this course. the good news is; the quizzes were really easy to do well in and there was no final. the written components were graded more harshly but considering the SONA bonus and the weighting of the quizzes, it's not difficult to bounce back from that. most people take this course because it's required, and to those people, i would say don't be afraid of this course, it can just get really tedious and boring at times."
49,4246,Richard Herrera,63,43,77,88,72,89,68,67,87,2,I took it online. I didn't have to dedicate that much for it. WARNING- options are 100% exam or 30% paper/70% exam....Do the paper or else you will have to write a whole other section on the final. The final was easy I am just glad I didn't have to write another essay during the exam time like my peers who opted for the 100% exam did.,"I have never coded before so i opted to take this rather than CS135. This was really easy for me. I'm glad I took it though becuase it saved time so I can focus more on actual courses for my major (MATH145, PHYS121 etc). Don't expect to be able to code anything after this, especial since you use dr Raket. And the design recipes are a pain, my tip is put 20 test cases for everything.",I would say this is one of the harder core psych courses. So much reading involved I didn't like it. Lots of filler and fluff content that is not necessary. Lengthy multiple choice questions. Heavy course.
50,4248,Jacob Smith,46,27,61,81,70,83,83,54,88,9,Lots of cool examples and stories. Really interesting to listen to as well!,"Thanks to Keiko Katsuragawa, the prof who doesn't know how to type properly or speak English at a comprehensive level, I can't stand this easy CS course. Very prof dependent, but generally easy.","I really liked the content of this course, but if you're taking it online be prepared to commit at least 8 hours per week just to read each module + take notes. Some of them took me longer, it's kind of ridiculous. The content was interesting, but the amount of it is absolute overkill. I would have enjoyed the course a lot more if the content was presented in lecture format. At least it was easy to do well on the tests and assignments."
51,4250,Margaret Wright,66,25,73,81,38,84,86,65,82,8,"Great learning experience. It really brought my perspective on how many social factors can actually influence how an individual participates in sports. At first I was nervous on how the grade breakdown was, but moreover, it turned out to be one of those courses were you needed to put the effort into it. Spring 2017 is the last time this course is offered as all new AHS students will be enrolled in a first year sociology course known as AHS 107.",bring netflix.,"A lot of studies. I took the in-person before covid and it was difficult to remember all of the content. I would say this isn't as hard as PSYCH 261 in terms of the core 6 courses, but is definitely in the harder half."
52,4257,Laura Lang,55,38,81,95,32,99,88,74,89,1,"Laid back course, a couple readings, lots of discussions. Go to class its not that bad.","Joke course if you're a CS major who is taking it just to get a good CAV (to transfer from regular to co-op, that is).","Loved taking this class! The prof was understanding of us students as we are continuing to study amidst the pandemic and hard hit 3rd wave. As long as you put in effort, you will be awarded for it. Plus the content is very interesting and can be applied to your everyday life and understanding those around you. I strongly recommend this course. As every psych course it is content heavy, but it is worth it and it is easy to succeed."
53,4268,Douglas Nixon,96,59,61,85,30,88,77,96,90,4,Easy. No final. 3 reflections and 2 quizzes that are all 20% each. Very easy 80-90. Make sure you look over slides in lecture and write everything said in the rubric in the reflection,Elementary course in CS. Have fun!,"had this online, it was extremely easy. 50% group project (which really wasn't complicated), weekly quizzes that are straight from the modules. more experiment based than theory based, but very interesting nonetheless!"
54,4272,William Mathis,53,32,75,73,33,89,76,82,87,9,"Pretty boring class, however the discussions were engaging and interesting. Consisted of 2 midterms and 3 papers. BE SURE TO LOOK AT THE APA FORMATTING AND RUBRIC FOR THE PAPERS AS A BIG EMPHASIS IS PLACED ON IT.",Read the coursenote and only go to class for clicker questions,This course was super interesting and really fun. Make sure you do the readings! Exams were very experiment focused which made it a lot more interesting.
